FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,goes_class_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,goes_class_2,solo_position_lon,solo_position_lat,solo_position_AU_distance
2302230725,2023-02-23 07:24:06.597,2023-02-23 07:25:14.597,2023-02-23 07:29:26.598,-42.9072921934893,25.1216165948689,340.09095166333015,25.1216165948689,C2.2,2302230747,2023-02-23 07:38:54.599,2023-02-23 07:47:26.600,2023-02-23 07:54:26.600,-18.55498376760943,18.907908599808877,4.240215576726716,18.907908599808877,C2.3,-32.651261950155174,-1.996581708469016,0.784370576185237
2302230808,2023-02-23 07:58:22.601,2023-02-23 08:08:54.602,2023-02-23 08:22:42.603,-18.24337873316739,18.866877468026303,4.355483317396507,18.86687746802631,C7.3,2302230843,2023-02-23 08:27:10.604,2023-02-23 08:43:38.606,2023-02-23 09:37:38.611,-40.00184958080723,24.37731628582894,342.2793359754695,24.37731628582894,M1.3,-32.64936000988331,-2.0022199419868363,0.7840572381977476
2302230843,2023-02-23 08:27:10.604,2023-02-23 08:43:38.606,2023-02-23 09:37:38.611,-40.00184958080723,24.37731628582894,342.2793359754695,24.37731628582894,M1.3,2302230941,2023-02-23 09:40:10.612,2023-02-23 09:41:58.612,2023-02-23 09:44:42.612,-17.618423608322132,18.7804939491976,4.129235724864804,18.7804939491976,C5.4,-32.647349804628504,-2.0080758600341446,0.7837316734853254
2302230957,2023-02-23 09:55:22.613,2023-02-23 09:57:06.613,2023-02-23 10:00:22.614,-18.13873427179567,17.892609530513646,3.4705130874892647,17.892609530513646,C4.0,2302231019,2023-02-23 10:08:06.615,2023-02-23 10:19:18.616,2023-02-23 10:22:14.616,-39.67739402879357,24.32217498150486,341.7288081344704,24.32217498150486,C3.1,-32.64604395319395,-2.011825606360849,0.7835231342440648
2302231040,2023-02-23 10:34:10.617,2023-02-23 10:40:10.618,2023-02-23 10:52:18.619,-38.39419326984995,24.13949220854651,342.82115863755604,24.13949220854651,C2.4,2302231054,2023-02-23 10:53:22.619,2023-02-23 10:54:54.620,2023-02-23 10:58:14.620,-17.517097664806215,17.810025567215536,3.563500404499765,17.810025567215536,C2.9,-32.64478466086723,-2.0154026828416747,0.7833241478741783
2302231054,2023-02-23 10:53:22.619,2023-02-23 10:54:54.620,2023-02-23 10:58:14.620,-17.517097664806215,17.810025567215536,3.563500404499765,17.810025567215536,C2.9,2302231108,2023-02-23 10:59:30.620,2023-02-23 11:08:06.621,2023-02-23 11:20:30.622,-38.39341394320712,24.136505517994895,342.56645452624844,24.136505517994895,C2.9,-32.644314237953154,-2.0167293675800413,0.7832503343755558
2302231131,2023-02-23 11:22:14.622,2023-02-23 11:31:26.523,2023-02-23 12:04:38.527,-38.95289413739437,25.194279788658747,341.7935785444296,25.194279788658747,C3.2,2302231226,2023-02-23 12:18:22.528,2023-02-23 12:26:30.529,2023-02-23 12:51:38.532,-16.364708643565848,18.6107564419581,3.878113368259808,18.61075644195809,C6.6,-32.641481245313855,-2.024612855035853,0.7828115783471524
2302231226,2023-02-23 12:18:22.528,2023-02-23 12:26:30.529,2023-02-23 12:51:38.532,-16.364708643565848,18.6107564419581,3.878113368259808,18.61075644195809,C6.6,2302231259,2023-02-23 12:55:30.532,2023-02-23 12:59:54.533,2023-02-23 13:16:34.535,-36.76390299023757,24.22320312879745,343.17343563063247,24.22320312879745,C2.6,-32.64025398128291,-2.027973508922902,0.7826244692567512
2302231427,2023-02-23 13:52:26.538,2023-02-23 14:27:50.542,2023-02-23 14:55:06.545,-36.69629825111088,24.85992952725559,342.43678283620085,24.85992952725559,C4.3,2302231510,2023-02-23 15:03:22.546,2023-02-23 15:10:34.547,2023-02-23 15:21:54.548,-14.712352641116638,18.713766152852383,4.029879346348899,18.713766152852383,C7.5,-32.63533564150447,-2.041132794128373,0.7818913972843826
2302231510,2023-02-23 15:03:22.546,2023-02-23 15:10:34.547,2023-02-23 15:21:54.548,-14.712352641116638,18.713766152852383,4.029879346348899,18.713766152852383,C7.5,2302231528,2023-02-23 15:24:46.548,2023-02-23 15:28:06.548,2023-02-23 15:41:22.550,-36.44127679848185,24.16334876599656,342.14059125706365,24.16334876599656,C2.6,-32.634661457413245,-2.0428999884842773,0.7817929015298003
