FlareID_1,Start_Time_1,Peak_Time_1,End_Time_1,hgs_lon_1,hgs_lat_1,hgc_lon_1,hgc_lat_1,total_counts_1,energy_keV_1,AR_1,FlareID_2,Start_Time_2,Peak_Time_2,End_Time_2,hgs_lon_2,hgs_lat_2,hgc_lon_2,hgc_lat_2,total_counts_2,energy_keV_2,AR_2
20513105,2002-05-13 23:14:36,2002-05-13 23:15:38,2002-05-13 23:16:04,-31.882737993338253,-18.221290327393525,94.7106057995022,-18.221290327393525,14708,12-25,9948,2051383,2002-05-13 23:53:52,2002-05-13 23:56:10,2002-05-13 00:02:40,5.498458228174614,-5.129913670855461,131.73118947125724,-5.129913670855461,92050,6-12,9946
2051560,2002-05-15 05:32:20,2002-05-15 05:41:46,2002-05-15 05:48:56,27.52345790531838,-4.404065898847387,137.42283066128192,-4.404065898847387,207791,6-12,9945,2051542,2002-05-15 06:55:44,2002-05-15 06:58:58,2002-05-15 07:25:08,-18.825112054013744,-23.936427862383397,90.30829536203667,-23.936427862383397,161240,12-25,9948
2062520,2002-06-25 07:10:48,2002-06-25 07:11:38,2002-06-25 07:13:40,4.931441339340928,-10.970278070322516,291.354587657608,-10.97027807032252,20197,6-12,8,2062547,2002-06-25 07:17:44,2002-06-25 07:19:42,2002-06-25 07:24:12,-31.094997737615245,-12.84877253197408,255.2644141961131,-12.84877253197408,82692,6-12,11
2062549,2002-06-25 08:57:32,2002-06-25 08:59:42,2002-06-25 09:03:04,-31.77537216638467,-10.181305188286952,253.666632502738,-10.181305188286952,35396,6-12,11,2062576,2002-06-25 09:41:20,2002-06-25 09:43:14,2002-06-25 09:43:16,5.535997535711515,-10.21664299069246,290.57537266836727,-10.21664299069246,24164,6-12,8
2062528,2002-06-25 23:10:08,2002-06-25 23:11:18,2002-06-25 23:13:36,18.78534962015356,-10.57751332976099,296.3898796928149,-10.57751332976099,38274,12-25,8,2062563,2002-06-25 23:36:28,2002-06-25 23:37:42,2002-06-25 23:40:32,-22.74079941222851,-14.258774873298362,254.62166352662257,-14.258774873298362,35892,6-12,11
2062663,2002-06-26 02:21:04,2002-06-26 02:29:06,2002-06-26 02:32:20,-21.79695802145261,-10.482597936279204,254.052432808206,-10.482597936279204,38744,6-12,11,2062664,2002-06-26 02:56:44,2002-06-26 02:57:38,2002-06-26 02:59:56,19.88097318384273,-11.320855761904754,295.40250124013966,-11.320855761904754,11712,6-12,8
2062610,2002-06-26 04:47:32,2002-06-26 04:48:42,2002-06-26 04:49:52,21.185781116946693,-8.17907356578705,295.6887900478376,-8.179073565787052,13197,12-25,8,2062641,2002-06-26 05:45:04,2002-06-26 05:48:34,2002-06-26 05:53:44,-17.818417411532266,-10.659381703129624,256.1557217035827,-10.659381703129624,83951,6-12,11
2062641,2002-06-26 05:45:04,2002-06-26 05:48:34,2002-06-26 05:53:44,-17.818417411532266,-10.659381703129624,256.1557217035827,-10.659381703129624,83951,6-12,11,2062667,2002-06-26 05:56:28,2002-06-26 05:58:54,2002-06-26 06:01:00,18.522474016754064,-15.560642722941196,292.39181971050374,-15.560642722941196,21281,6-12,8
2062667,2002-06-26 05:56:28,2002-06-26 05:58:54,2002-06-26 06:01:00,18.522474016754064,-15.560642722941196,292.39181971050374,-15.560642722941196,21281,6-12,8,2062602,2002-06-26 07:23:56,2002-06-26 07:25:30,2002-06-26 07:36:04,-18.392510527922468,-14.0972269392501,254.67280631294352,-14.0972269392501,324344,12-25,11
2062662,2002-06-26 12:16:04,2002-06-26 12:17:42,2002-06-26 12:18:52,-13.914818771065027,-10.646921750733126,256.4650934259075,-10.646921750733126,11300,6-12,11,2062618,2002-06-26 13:35:44,2002-06-26 13:39:18,2002-06-26 13:49:56,25.68702023190132,-11.80501601648168,295.33460579979726,-11.80501601648168,88089,12-25,8
